#At time x process y state arr w total z remain y wait k
At time 9 process 1 Started arr 9 total 2 remain 2 wait 0
At time 11 process 1 Finished arr 9 total 2 remain 0 wait 0 TA 2 WTA 1.00
At time 17 process 2 Started arr 17 total 3 remain 3 wait 0
At time 19 process 2 Stopped arr 17 total 3 remain 1 wait 0
At time 19 process 2 Resumed arr 17 total 3 remain 1 wait 0
At time 20 process 2 Finished arr 17 total 3 remain 0 wait 0 TA 3 WTA 1.00
At time 20 process 3 Started arr 20 total 26 remain 26 wait 0
At time 22 process 3 Stopped arr 20 total 26 remain 24 wait 0
At time 22 process 4 Started arr 21 total 20 remain 20 wait 1
At time 24 process 4 Stopped arr 21 total 20 remain 18 wait 1
At time 24 process 3 Resumed arr 20 total 26 remain 24 wait 2
At time 26 process 3 Stopped arr 20 total 26 remain 22 wait 2
At time 26 process 4 Resumed arr 21 total 20 remain 18 wait 3
At time 28 process 4 Stopped arr 21 total 20 remain 16 wait 3
At time 28 process 3 Resumed arr 20 total 26 remain 22 wait 4
At time 30 process 3 Stopped arr 20 total 26 remain 20 wait 4
At time 30 process 4 Resumed arr 21 total 20 remain 16 wait 5
At time 32 process 4 Stopped arr 21 total 20 remain 14 wait 5
At time 32 process 5 Started arr 29 total 13 remain 13 wait 3
At time 34 process 5 Stopped arr 29 total 13 remain 11 wait 3
At time 34 process 3 Resumed arr 20 total 26 remain 20 wait 8
At time 36 process 3 Stopped arr 20 total 26 remain 18 wait 8
At time 36 process 4 Resumed arr 21 total 20 remain 14 wait 9
At time 38 process 4 Stopped arr 21 total 20 remain 12 wait 9
At time 38 process 5 Resumed arr 29 total 13 remain 11 wait 7
At time 40 process 5 Stopped arr 29 total 13 remain 9 wait 7
At time 40 process 6 Started arr 36 total 19 remain 19 wait 4
At time 42 process 6 Stopped arr 36 total 19 remain 17 wait 4
At time 42 process 3 Resumed arr 20 total 26 remain 18 wait 14
At time 44 process 3 Stopped arr 20 total 26 remain 16 wait 14
At time 44 process 4 Resumed arr 21 total 20 remain 12 wait 15
At time 46 process 4 Stopped arr 21 total 20 remain 10 wait 15
At time 46 process 5 Resumed arr 29 total 13 remain 9 wait 13
At time 48 process 5 Stopped arr 29 total 13 remain 7 wait 13
At time 48 process 6 Resumed arr 36 total 19 remain 17 wait 10
At time 50 process 6 Stopped arr 36 total 19 remain 15 wait 10
At time 50 process 7 Started arr 46 total 26 remain 26 wait 4
At time 52 process 7 Stopped arr 46 total 26 remain 24 wait 4
At time 52 process 3 Resumed arr 20 total 26 remain 16 wait 22
At time 54 process 3 Stopped arr 20 total 26 remain 14 wait 22
At time 54 process 4 Resumed arr 21 total 20 remain 10 wait 23
At time 56 process 4 Stopped arr 21 total 20 remain 8 wait 23
At time 56 process 5 Resumed arr 29 total 13 remain 7 wait 21
At time 58 process 5 Stopped arr 29 total 13 remain 5 wait 21
At time 58 process 6 Resumed arr 36 total 19 remain 15 wait 18
At time 60 process 6 Stopped arr 36 total 19 remain 13 wait 18
At time 60 process 7 Resumed arr 46 total 26 remain 24 wait 12
At time 62 process 7 Stopped arr 46 total 26 remain 22 wait 12
At time 62 process 8 Started arr 53 total 27 remain 27 wait 9
At time 64 process 8 Stopped arr 53 total 27 remain 25 wait 9
At time 64 process 9 Started arr 61 total 29 remain 29 wait 3
At time 66 process 9 Stopped arr 61 total 29 remain 27 wait 3
At time 66 process 3 Resumed arr 20 total 26 remain 14 wait 34
At time 68 process 3 Stopped arr 20 total 26 remain 12 wait 34
At time 68 process 4 Resumed arr 21 total 20 remain 8 wait 35
At time 70 process 4 Stopped arr 21 total 20 remain 6 wait 35
At time 70 process 5 Resumed arr 29 total 13 remain 5 wait 33
At time 72 process 5 Stopped arr 29 total 13 remain 3 wait 33
At time 72 process 6 Resumed arr 36 total 19 remain 13 wait 30
At time 74 process 6 Stopped arr 36 total 19 remain 11 wait 30
At time 74 process 7 Resumed arr 46 total 26 remain 22 wait 24
At time 76 process 7 Stopped arr 46 total 26 remain 20 wait 24
At time 76 process 8 Resumed arr 53 total 27 remain 25 wait 21
At time 78 process 8 Stopped arr 53 total 27 remain 23 wait 21
At time 78 process 9 Resumed arr 61 total 29 remain 27 wait 15
At time 80 process 9 Stopped arr 61 total 29 remain 25 wait 15
At time 80 process 10 Started arr 70 total 9 remain 9 wait 10
At time 82 process 10 Stopped arr 70 total 9 remain 7 wait 10
At time 82 process 11 Started arr 75 total 22 remain 22 wait 7
At time 84 process 11 Stopped arr 75 total 22 remain 20 wait 7
At time 84 process 12 Started arr 75 total 17 remain 17 wait 9
At time 86 process 12 Stopped arr 75 total 17 remain 15 wait 9
At time 86 process 13 Started arr 79 total 22 remain 22 wait 7
